horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
short,8,2,ts_momentum,-2.5644161980049804,0.0,716
short,9,2,ts_momentum,-2.4391156164657652,0.0,730
short,10,2,ts_momentum,-2.16085662413213,0.16666666666666666,734
short,11,2,ts_momentum,-2.6771805098559156,0.1111111111111111,742
short,12,2,ts_momentum,-2.8721429753662284,0.10909090909090909,746
short,6,2,ma_ribbon,-2.70948497491726,0.0,4351
short,7,2,ma_ribbon,-2.820427331776049,0.0,4482
short,8,2,ma_ribbon,-2.7670689669994313,0.047619047619047616,4572
short,9,2,ma_ribbon,-1.9507165666883561,0.0,4619
short,10,2,ma_ribbon,-2.1766349779881384,0.2222222222222222,4668
short,11,2,ma_ribbon,-2.7026496645981077,0.15555555555555556,4722
short,12,2,ma_ribbon,-2.2494129790795645,0.18181818181818182,4759
short,6,2,adx_trend,-3.5301937478819645,0.0,642
short,7,2,adx_trend,-3.410016841696009,0.0,666
short,8,2,adx_trend,-3.7362128925524742,0.047619047619047616,680
short,9,2,adx_trend,-2.9406118916807853,0.07142857142857142,692
short,10,2,adx_trend,-2.5944999571419807,0.08333333333333333,696
short,11,2,adx_trend,-2.6014564352764924,0.1111111111111111,696
short,12,2,adx_trend,-2.936352345191795,0.18181818181818182,704
short,6,2,macd,-2.547013002944046,0.0,1098
short,7,2,macd,-3.0037086997993074,0.0,1134
short,8,2,macd,-3.0830512202691067,0.0,1156
short,9,2,macd,-2.858844691963167,0.03571428571428571,1182
short,10,2,macd,-2.9702511159213585,0.0,1196
short,11,2,macd,-3.180636092605685,0.06666666666666667,1208
short,12,2,macd,-3.0610880231700195,0.05454545454545454,1222
short,6,2,hurst_switch,-3.1748990244776696,0.1,164
short,7,2,hurst_switch,-3.023056890657193,0.13333333333333333,172
short,8,2,hurst_switch,-3.122626538340199,0.14285714285714285,170
short,9,2,hurst_switch,-3.2564949229459064,0.10714285714285714,176
short,10,2,hurst_switch,-2.7863620841681183,0.19444444444444445,176
short,11,2,hurst_switch,-3.2093718263309836,0.15555555555555556,178
short,12,2,hurst_switch,-3.0399186206589577,0.18181818181818182,180
short,6,2,dual_momentum,-4.997684865596598,0.0,698
short,7,2,dual_momentum,-5.142193713551245,0.0,718
short,8,2,dual_momentum,-4.632749667659762,0.0,728
short,9,2,dual_momentum,-4.13206687928605,0.0,734
short,10,2,dual_momentum,-4.444999989369835,0.0,744
short,11,2,dual_momentum,-4.6624302205357235,0.044444444444444446,754
short,12,2,dual_momentum,-4.767194625059354,0.03636363636363636,752
