horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
long,6,2,grid,-0.16712271554560937,0.3,644
long,7,2,grid,0.2927541116736494,0.6,677
long,8,2,grid,0.09517336776411978,0.5238095238095238,675
long,9,2,grid,0.044192586598832954,0.5357142857142857,679
long,10,2,grid,-0.03498556840092795,0.4722222222222222,699
long,11,2,grid,0.07826185759382306,0.5333333333333333,709
long,12,2,grid,0.21429815916656977,0.5818181818181818,703
long,6,2,sma_regime,0.5131294684320766,0.7,46
long,7,2,sma_regime,-0.09425423690895808,0.3333333333333333,42
long,8,2,sma_regime,0.2535652074541983,0.7142857142857143,44
long,9,2,sma_regime,-0.24270042019579785,0.35714285714285715,46
long,10,2,sma_regime,0.2268902483886075,0.5714285714285714,50
long,11,2,sma_regime,0.052979892154284364,0.5277777777777778,48
long,12,2,sma_regime,0.030008081945439188,0.5111111111111111,50
long,6,2,ichimoku,0.5864319178645364,0.7,60
long,7,2,ichimoku,0.0,0.4666666666666667,56
long,8,2,ichimoku,0.24271818715531185,0.7142857142857143,56
long,9,2,ichimoku,-0.2951729871157025,0.42857142857142855,58
long,10,2,ichimoku,0.1786424691746355,0.5277777777777778,62
long,11,2,ichimoku,-0.6331753915339055,0.35555555555555557,64
long,12,2,ichimoku,0.019500045678832515,0.509090909090909,66
long,6,2,ma_ribbon,0.4697238056408519,0.7,1005
long,7,2,ma_ribbon,-0.3503266664206574,0.4,1028
long,8,2,ma_ribbon,0.17147617920186625,0.5714285714285714,1030
long,9,2,ma_ribbon,-0.3458622301383737,0.42857142857142855,1041
long,10,2,ma_ribbon,0.08646108542226372,0.5277777777777778,1061
long,11,2,ma_ribbon,-0.487051989529577,0.3111111111111111,1081
long,12,2,ma_ribbon,-0.02402081194417374,0.4727272727272727,1089
long,6,2,keltner,0.3649451590791232,0.7,34
long,7,2,keltner,-0.30719822007061226,0.3333333333333333,34
long,8,2,keltner,-0.15985634305479196,0.38095238095238093,34
long,9,2,keltner,-0.5013171067480612,0.32142857142857145,36
long,10,2,keltner,-0.16458100376854234,0.3888888888888889,40
long,11,2,keltner,-0.38782240567676796,0.3111111111111111,38
long,12,2,keltner,-0.10605866246883697,0.4727272727272727,36
long,6,2,vwap_reversion,-0.2069618858761038,0.4,44
long,7,2,vwap_reversion,0.1416424236498695,0.6,54
long,8,2,vwap_reversion,-0.16156950472281073,0.2857142857142857,54
long,9,2,vwap_reversion,-0.25921892012302783,0.35714285714285715,50
long,10,2,vwap_reversion,-0.2937872272855622,0.4166666666666667,52
long,11,2,vwap_reversion,-0.26883300787741254,0.4444444444444444,54
long,12,2,vwap_reversion,-0.352831226216596,0.4,52
long,6,2,bb_breakout,0.30471692859562616,0.6,32
long,7,2,bb_breakout,-0.330860260409584,0.3333333333333333,32
long,8,2,bb_breakout,-0.34861383793007833,0.42857142857142855,32
long,9,2,bb_breakout,-0.4655076325942311,0.35714285714285715,34
long,10,2,bb_breakout,0.09125736171224472,0.5277777777777778,32
long,11,2,bb_breakout,-0.6352112041499282,0.3333333333333333,36
long,12,2,bb_breakout,-0.12023843329838937,0.4,34
