horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
medium,2,vote,vote(stochastic+bb_reversion),vote(stochastic+zscore),0.9886092360424042,0.9967948717948718,False,True
medium,2,vote,vote(bb_reversion+vwap_reversion),vote(zscore+vwap_reversion),0.9901131102839993,1.0,False,True
medium,2,vote,vote(bb_reversion+ou_reversion),vote(zscore+ou_reversion),0.9827125309532284,0.9493670886075949,False,True
medium,2,vote,vote(bb_reversion+obv_trend),vote(zscore+obv_trend),0.9661702960484841,0.9813311688311688,False,True
medium,3,all,all(ma_crossover+macd+ichimoku),all(macd+ma_ribbon+ichimoku),0.9557943485784882,0.8675078864353313,False,True
medium,3,all,all(ma_crossover+macd+ts_momentum),all(macd+ma_ribbon+ts_momentum),0.9456169317726912,0.7741046831955923,False,True
medium,3,all,all(ma_crossover+macd+dual_momentum),all(macd+ma_ribbon+dual_momentum),0.8904899008638056,0.5363321799307958,False,True
medium,3,all,all(ma_crossover+macd+sma_regime),all(macd+ma_ribbon+sma_regime),0.9415567905176097,0.7586206896551724,False,True
medium,3,all,all(ma_crossover+macd+adx_trend),all(macd+ma_ribbon+adx_trend),0.9787007659139974,0.9313725490196079,False,True
medium,3,all,all(ma_crossover+macd+hurst_switch),all(macd+ma_ribbon+hurst_switch),0.996580571047037,1.0,False,True
medium,3,all,all(ma_crossover+macd+vol_regime),all(macd+ma_ribbon+vol_regime),0.923189601598818,0.7029702970297029,False,True
medium,3,all,all(ma_crossover+macd+breakout),all(macd+ma_ribbon+breakout),0.9259071581205818,0.725,False,True
medium,3,all,all(ma_crossover+macd+bb_breakout),all(macd+ma_ribbon+bb_breakout),0.9286293096728069,0.7382920110192838,False,True
medium,3,all,all(ma_crossover+macd+keltner),all(macd+ma_ribbon+keltner),0.9696374784138562,0.9132231404958677,False,True
medium,3,all,all(ma_crossover+macd+rsi),all(macd+ma_ribbon+rsi),,0.0,False,False
medium,3,all,all(ma_crossover+macd+stochastic),all(macd+ma_ribbon+stochastic),0.5972108980478292,0.13333333333333333,False,False
medium,3,all,all(ma_crossover+macd+bb_reversion),all(ma_crossover+macd+zscore),,,True,True
medium,3,all,all(ma_crossover+macd+bb_reversion),all(macd+ma_ribbon+bb_reversion),,0.0,False,False
medium,3,all,all(ma_crossover+macd+bb_reversion),all(macd+ma_ribbon+zscore),,0.0,False,False
medium,3,all,all(ma_crossover+macd+zscore),all(macd+ma_ribbon+bb_reversion),,0.0,False,False
medium,3,all,all(ma_crossover+macd+zscore),all(macd+ma_ribbon+zscore),,0.0,False,False
medium,3,all,all(macd+ma_ribbon+bb_reversion),all(macd+ma_ribbon+zscore),0.9483895425710904,0.9,False,True
medium,3,all,all(ma_crossover+macd+vwap_reversion),all(macd+ma_ribbon+vwap_reversion),0.66252605393922,0.08620689655172414,False,False
medium,3,all,all(ma_crossover+macd+ou_reversion),all(macd+ma_ribbon+ou_reversion),,0.0,False,False
medium,3,all,all(ma_crossover+macd+obv_trend),all(macd+ma_ribbon+obv_trend),0.8960151360860013,0.5402930402930403,False,True
medium,3,all,all(ma_crossover+ichimoku+ts_momentum),all(ma_ribbon+ichimoku+ts_momentum),0.9664634714096523,0.9576612903225806,False,True
medium,3,all,all(ma_crossover+ichimoku+dual_momentum),all(ma_ribbon+ichimoku+dual_momentum),0.9619916436753723,0.900990099009901,False,True
medium,3,all,all(ma_crossover+ichimoku+sma_regime),all(ma_ribbon+ichimoku+sma_regime),0.9593813511826245,0.9269662921348315,False,True
medium,3,all,all(ma_crossover+ichimoku+adx_trend),all(ma_ribbon+ichimoku+adx_trend),0.9894773930614668,0.9894736842105263,False,True
medium,3,all,all(ma_crossover+ichimoku+hurst_switch),all(ma_ribbon+ichimoku+hurst_switch),0.9952196552872646,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+vol_regime),all(ma_ribbon+ichimoku+vol_regime),0.9548850830403267,0.89272030651341,False,True
medium,3,all,all(ma_crossover+ichimoku+breakout),all(ma_ribbon+ichimoku+breakout),0.9641430918087748,0.9213483146067416,False,True
medium,3,all,all(ma_crossover+ichimoku+bb_breakout),all(ma_ribbon+ichimoku+bb_breakout),0.9680957776336433,0.9051724137931034,False,True
medium,3,all,all(ma_crossover+ichimoku+keltner),all(ma_ribbon+ichimoku+keltner),0.9806902789404527,0.9568106312292359,False,True
medium,3,all,all(ma_crossover+ichimoku+rsi),all(ma_ribbon+ichimoku+rsi),,,True,True
medium,3,all,all(ma_crossover+ichimoku+stochastic),all(ma_ribbon+ichimoku+stochastic),0.982936269406724,0.9830508474576272,False,True
medium,3,all,all(ma_crossover+ichimoku+bb_reversion),all(ma_crossover+ichimoku+zscore),1.0,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+bb_reversion),all(ma_ribbon+ichimoku+bb_reversion),0.9840480341706925,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+bb_reversion),all(ma_ribbon+ichimoku+zscore),0.9840480341706925,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+zscore),all(ma_ribbon+ichimoku+bb_reversion),0.9840480341706925,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+zscore),all(ma_ribbon+ichimoku+zscore),0.9840480341706925,1.0,False,True
medium,3,all,all(ma_ribbon+ichimoku+bb_reversion),all(ma_ribbon+ichimoku+zscore),1.0,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+vwap_reversion),all(ma_ribbon+ichimoku+vwap_reversion),0.9777910125849268,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+ou_reversion),all(ma_ribbon+ichimoku+ou_reversion),0.996241040682973,1.0,False,True
medium,3,all,all(ma_crossover+ichimoku+obv_trend),all(ma_ribbon+ichimoku+obv_trend),0.9619944014600472,0.8929503916449086,False,True
medium,3,all,all(ma_crossover+ts_momentum+dual_momentum),all(ma_ribbon+ts_momentum+dual_momentum),0.9509053787136279,0.8181818181818182,False,True
medium,3,all,all(ma_crossover+ts_momentum+sma_regime),all(ma_ribbon+ts_momentum+sma_regime),0.9467322581609899,0.87215411558669,False,True
medium,3,all,all(ma_crossover+ts_momentum+adx_trend),all(ma_ribbon+ts_momentum+adx_trend),0.9861273101474634,0.9717314487632509,False,True
medium,3,all,all(ma_crossover+ts_momentum+hurst_switch),all(ma_ribbon+ts_momentum+hurst_switch),0.9942439220577661,1.0,False,True
medium,3,all,all(ma_crossover+ts_momentum+vol_regime),all(ma_ribbon+ts_momentum+vol_regime),0.9389091468975207,0.8185185185185185,False,True
medium,3,all,all(ma_crossover+ts_momentum+breakout),all(ma_ribbon+ts_momentum+breakout),0.9599458233690802,0.8997722095671982,False,True
medium,3,all,all(ma_crossover+ts_momentum+bb_breakout),all(ma_ribbon+ts_momentum+bb_breakout),0.9707357427332148,0.9101796407185628,False,True
