horizon,kind,label,mode,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,triple,vote(ma_crossover+rsi+obv_trend),vote,trend+oscillator-reversion+volume-flow,21,7,-2.2008590222495807,-2.8542098244995544,-1.7070100469933789,1.1471997775061755,0.0,-0.16701805279126858,7024,False,
short,triple,all(ma_crossover+zscore+obv_trend),all,trend+mean-reversion+volume-flow,21,7,-0.48463466054419374,-1.395515528665582,2.5498796446264964,3.9453951732920785,0.2857142857142857,-0.00138222321786996,22,False,
short,triple,vote(ma_crossover+zscore+obv_trend),vote,trend+mean-reversion+volume-flow,21,7,-2.097765128414206,-3.1532298929350615,-1.6580879383424179,1.4951419545926437,0.0,-0.15981410059701961,6943,False,
short,triple,all(ts_momentum+sma_regime+breakout),all,momentum+regime-filter+breakout,21,7,-2.2833123208961608,-2.8711830422152294,-1.4888408903507657,1.3823421518644636,0.0,-0.16718065689685835,332,False,
short,triple,vote(ts_momentum+sma_regime+breakout),vote,momentum+regime-filter+breakout,21,7,-2.5697220223214225,-3.3079322820554053,-1.9941097882074172,1.313822493847988,0.0,-0.1622554097964899,3581,False,
short,triple,all(ts_momentum+sma_regime+rsi),all,momentum+regime-filter+oscillator-reversion,21,7,-0.10420982565138825,-1.6686352505576512,0.6940606036115807,2.362695854169232,0.47619047619047616,-0.0017888453949705951,58,False,
short,triple,vote(ts_momentum+sma_regime+rsi),vote,momentum+regime-filter+oscillator-reversion,21,7,-2.7554887783180306,-3.5010189594942704,-2.1651193644549958,1.3358995950392747,0.0,-0.20039146324960133,6739,False,
short,triple,all(ts_momentum+sma_regime+zscore),all,momentum+regime-filter+mean-reversion,21,7,0.70757656573977,-0.8205447485283348,1.317143678735101,2.137688427263436,0.7142857142857143,0.005010429875578204,26,False,
short,triple,vote(ts_momentum+sma_regime+zscore),vote,momentum+regime-filter+mean-reversion,21,7,-2.949738391305975,-3.424509786276073,-1.9913992047099918,1.4331105815660814,0.0,-0.20668801733369768,6646,False,
short,triple,all(ts_momentum+sma_regime+obv_trend),all,momentum+regime-filter+volume-flow,21,7,-2.6248293406393493,-3.1104012349641357,-2.008642340180492,1.1017588947836439,0.0,-0.17889915627568198,474,False,
short,triple,vote(ts_momentum+sma_regime+obv_trend),vote,momentum+regime-filter+volume-flow,21,7,-2.27237772672321,-2.9736334547798515,-1.4398279893505437,1.5338054654293078,0.0,-0.1582952703541104,3740,False,
short,triple,all(ts_momentum+breakout+rsi),all,momentum+breakout+oscillator-reversion,21,7,0.0,0.0,0.0,0.0,0.0,0.0,0,True,only 0 trades across all blocks (floor 10)
short,triple,vote(ts_momentum+breakout+rsi),vote,momentum+breakout+oscillator-reversion,21,7,-2.6492454372972976,-3.396061677085,-2.2828443815022035,1.1132172955827966,0.0,-0.19356019900945953,6765,False,
short,triple,all(ts_momentum+breakout+zscore),all,momentum+breakout+mean-reversion,21,7,0.0,-0.4453581899482276,0.0,0.4453581899482276,0.23809523809523808,0.0,6,True,only 6 trades across all blocks (floor 10)
short,triple,vote(ts_momentum+breakout+zscore),vote,momentum+breakout+mean-reversion,21,7,-2.6618538608285998,-3.700976717545795,-2.2353067067795203,1.4656700107662748,0.0,-0.18399853126800159,6601,False,
short,triple,all(ts_momentum+breakout+obv_trend),all,momentum+breakout+volume-flow,21,7,-1.606294304987199,-2.7551431191167426,-0.21156543807425188,2.543577681042491,0.23809523809523808,-0.13527515248216626,476,False,
short,triple,vote(ts_momentum+breakout+obv_trend),vote,momentum+breakout+volume-flow,21,7,-3.2633282074084806,-3.6444161677014697,-1.038348319467807,2.6060678482336628,0.0,-0.2062405303156738,3181,False,
short,triple,all(ts_momentum+rsi+zscore),all,momentum+oscillator-reversion+mean-reversion,21,7,-1.6533807028438485,-2.695988229269806,-0.19252098446983423,2.503467244799972,0.14285714285714285,-0.01894043440213211,62,False,
short,triple,vote(ts_momentum+rsi+zscore),vote,momentum+oscillator-reversion+mean-reversion,21,7,-2.508967940570209,-3.014125673105667,-1.7394571585536756,1.2746685145519916,0.0,-0.20512234875608948,6456,False,
short,triple,all(ts_momentum+rsi+obv_trend),all,momentum+oscillator-reversion+volume-flow,21,7,-2.142492291437306,-3.213306078311484,-1.1155359938562246,2.0977700844552594,0.14285714285714285,-0.035754754477092865,56,False,
short,triple,vote(ts_momentum+rsi+obv_trend),vote,momentum+oscillator-reversion+volume-flow,21,7,-2.2894766314406443,-2.8834755531655647,-1.6052349930749035,1.2782405600906612,0.0,-0.18043809200174155,7009,False,
short,triple,all(ts_momentum+zscore+obv_trend),all,momentum+mean-reversion+volume-flow,21,7,-1.9707409575243393,-2.7631994262939794,0.0010114331426766393,2.764210859436656,0.2857142857142857,-0.009474001780659935,26,False,
short,triple,vote(ts_momentum+zscore+obv_trend),vote,momentum+mean-reversion+volume-flow,21,7,-2.1606879117596027,-3.064054150400747,-1.5592179406251838,1.5048362097755632,0.0,-0.17162977586408057,6913,False,
short,triple,all(sma_regime+breakout+rsi),all,regime-filter+breakout+oscillator-reversion,21,7,0.0,0.0,0.0,0.0,0.0,0.0,0,True,only 0 trades across all blocks (floor 10)
short,triple,vote(sma_regime+breakout+rsi),vote,regime-filter+breakout+oscillator-reversion,21,7,-2.5629563480813427,-3.0166008362046934,-1.7090919252971806,1.3075089109075129,0.0,-0.16292024130691685,6448,False,
short,triple,all(sma_regime+breakout+zscore),all,regime-filter+breakout+mean-reversion,21,7,0.0,-2.33817288476086,0.0,2.33817288476086,0.0,0.0,2,True,only 2 trades across all blocks (floor 10)
short,triple,vote(sma_regime+breakout+zscore),vote,regime-filter+breakout+mean-reversion,21,7,-2.4916310811160365,-2.904570578075128,-1.7965553663313298,1.108015211743798,0.0,-0.16319150729430654,6277,False,
short,triple,all(sma_regime+breakout+obv_trend),all,regime-filter+breakout+volume-flow,21,7,-1.5588161042352675,-2.9351403528405746,-1.047332999737501,1.8878073531030737,0.09523809523809523,-0.12617790741343093,350,False,
short,triple,vote(sma_regime+breakout+obv_trend),vote,regime-filter+breakout+volume-flow,21,7,-1.9237080625446619,-2.532440355830942,-1.0695269616381518,1.46291339419279,0.0,-0.13687655801038656,3951,False,
short,triple,all(sma_regime+rsi+zscore),all,regime-filter+oscillator-reversion+mean-reversion,21,7,0.7353566176490759,-0.6814505186495982,1.823089375042395,2.504539893691993,0.6666666666666666,0.015839372738084778,100,False,
short,triple,vote(sma_regime+rsi+zscore),vote,regime-filter+oscillator-reversion+mean-reversion,21,7,-2.2945432276902054,-2.627078050280293,-1.4827036491874566,1.1443744010928363,0.0,-0.16641845515636555,5236,False,
short,triple,all(sma_regime+rsi+obv_trend),all,regime-filter+oscillator-reversion+volume-flow,21,7,0.9499176858649869,-0.6168491063282134,2.11677486108176,2.7336239674099736,0.6666666666666666,0.017523000240127873,68,False,
short,triple,vote(sma_regime+rsi+obv_trend),vote,regime-filter+oscillator-reversion+volume-flow,21,7,-2.083649320760611,-2.399001281272901,-1.869592523987172,0.5294087572857291,0.0,-0.16962523461513712,6948,False,
short,triple,all(sma_regime+zscore+obv_trend),all,regime-filter+mean-reversion+volume-flow,21,7,1.8442148149668613,0.17890627679386747,2.269417360158922,2.0905110833650546,0.8095238095238095,0.022914685171639082,42,False,
short,triple,vote(sma_regime+zscore+obv_trend),vote,regime-filter+mean-reversion+volume-flow,21,7,-1.9902490140478841,-2.451673816726014,-1.7458597846465256,0.7058140320794883,0.0,-0.15031724650823552,6841,False,
