label,kind,horizon,families,mode,rankable,full_return,full_sharpe,full_maxdd,full_trades,full_exposure,is_return,is_sharpe,is_maxdd,is_trades,is_exposure,oos_return,oos_sharpe,oos_maxdd,oos_trades,oos_exposure
any(macd+bb_reversion),pair,short,trend+mean-reversion,any,True,-0.6898151751488325,-1.717403590454373,-0.7168300439846468,535,0.6602062790434092,-0.5717282798206792,-1.628312442833629,-0.6803907939423386,374,0.6601360103626943,-0.27568693228376273,-2.0436641233191923,-0.32901172743877705,162,0.6603702304495656
all(macd+zscore),pair,short,trend+mean-reversion,all,True,-0.46117763515246,-2.2329858454838547,-0.5578439945924434,243,0.13408137821602628,-0.3413799029546484,-1.9906377187461792,-0.41003508174725944,167,0.13681994818652848,-0.18198969289627775,-3.0442142986016734,-0.26535274664256264,76,0.12769172648281074
any(macd+zscore),pair,short,trend+mean-reversion,any,True,-0.6808194010433104,-1.6767853501660304,-0.7086177371478859,540,0.6554459934262722,-0.56715706028646,-1.6099026081728756,-0.6818925082735198,375,0.657059585492228,-0.2625521414774522,-1.9364908992408068,-0.3168439356559123,166,0.651681148469966
all(macd+vwap_reversion),pair,short,trend+mean-reversion,all,True,-0.5246528365539492,-2.584141916512532,-0.5760405520635532,278,0.14008840530431826,-0.3674564381522143,-2.0605600213912196,-0.4431306900194571,197,0.14540155440414507,-0.25394930970221863,-4.549838936307165,-0.25903058566650716,81,0.1269361541367586
any(macd+vwap_reversion),pair,short,trend+mean-reversion,any,True,-0.7427096988153017,-1.9213046470395618,-0.7766170038949085,505,0.7157429445766746,-0.6115743617539535,-1.7359487595494436,-0.6793752072414685,349,0.7284650259067358,-0.33756892274773276,-2.562700549747757,-0.3961074254468946,157,0.6860596902153381
all(macd+obv_trend),pair,short,trend+volume-flow,all,True,-0.5339690030576187,-1.8747739821636695,-0.5351932196062443,588,0.2969511504023575,-0.2783710692542941,-0.9698513545017572,-0.42859646503640086,403,0.29436528497409326,-0.3520109891990981,-4.766232322342316,-0.37355603620904476,184,0.3029845107669059
any(macd+obv_trend),pair,short,trend+volume-flow,any,True,-0.6899326727899651,-1.7803263546980879,-0.7726813453490575,548,0.7266235974158449,-0.5332109117327195,-1.491529655172843,-0.6762657063887368,379,0.7219883419689119,-0.336172048224076,-2.716913114133029,-0.39066185193736525,170,0.7370608235738572
all(ts_momentum+sma_regime),pair,short,momentum+regime-filter,all,True,-0.4781723035550244,-1.6235382087372572,-0.5381270216420209,247,0.31508557180097474,-0.4178919275109174,-1.815558742224804,-0.489946069724992,161,0.3165479274611399,-0.103555299940007,-1.0832891298625913,-0.15801774366779425,86,0.31167359274650547
any(ts_momentum+sma_regime),pair,short,momentum+regime-filter,any,True,-0.7151505117753829,-2.2813876597725766,-0.7614108590893851,317,0.5982092258868865,-0.6639379494011861,-2.666019946737023,-0.714310368794298,227,0.591321243523316,-0.15011963206219936,-1.1432300358842138,-0.22249736376626206,89,0.6139025311673593
all(ts_momentum+breakout),pair,short,momentum+breakout,all,True,-0.3728309623108593,-1.0818439791671652,-0.5141461444454051,246,0.3172390343420605,-0.3631014128516392,-1.4407647519153313,-0.46971037015808775,174,0.31379533678756477,-0.015276450059000801,-0.019924762359556657,-0.13976781612178954,72,0.3252738949754439
any(ts_momentum+breakout),pair,short,momentum+breakout,any,True,-0.6972921073489821,-2.207630028527055,-0.7670812455765781,345,0.5513997506517058,-0.5326343723983528,-1.8158475015146123,-0.6692266366455925,232,0.5454987046632125,-0.35231032242484983,-3.4987187128117556,-0.39550767934873765,113,0.5651681148469966
all(ts_momentum+bb_breakout),pair,short,momentum+breakout,all,True,-0.4235392088777481,-1.511531782158161,-0.49611456387593933,177,0.25263515810948656,-0.36074721481521566,-1.6755539126270163,-0.4314089772000741,121,0.2506476683937824,-0.09822717322128283,-1.0680070747506258,-0.1667601396373572,56,0.2572723838307518
